scenario,flow_type,strategy_name,regime,metric,sample_count,mean,stddev,median,p05,p95,ci95_low,ci95_high
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,fill_rate,2,0.5153,0.0459619407771,0.5153,0.4828,0.5478,0.4516,0.579
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,gross_spread_capture,2,34841.9579157,5436.73476607,34841.9579157,30997.6058951,38686.3099363,27307.0279553,42376.8878761
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,inventory_pnl,2,-49433.7031787,55079.0465936,-49433.7031787,-88380.4705263,-10486.9358311,-125769.36718,26901.9608226
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,adverse_selection_cost,2,9952.83488716,2639.81143571,9952.83488716,8086.20631991,11819.4634544,6294.24289535,13611.426879
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,fee_pnl,2,103.06,9.19238815543,103.06,96.56,109.56,90.32,115.8
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,net_pnl_after_fees,2,-14488.685263,49651.5042157,-14488.685263,-49597.60059,20620.230064,-83302.1593039,54324.7887779
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,terminal_liquidation_cost,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,terminal_inventory_penalty,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,risk_adjusted_pnl,2,0.103345340641,0.849911497928,0.103345340641,-0.497632842952,0.704323524235,-1.0745718992,1.28126258048
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,maximum_drawdown,2,64471.8508635,49773.5369007,64471.8508635,29276.6453973,99667.0563296,-4510.7518502,133454.453577
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,inventory_variance,2,120845.784069,98648.0205978,120845.784069,51091.0997534,190600.468384,-15873.3971893,257564.965327
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,pre_liquidation_inventory,2,58,726.90577106,58,-456,572,-949.44,1065.44
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,final_inventory,2,58,726.90577106,58,-456,572,-949.44,1065.44
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,maker_fills,2,559,55.1543289326,559,520,598,482.56,635.44
as_risk_aversion_high,hand-chosen,avellaneda stoikov,high volatility,market_maker_filled_quantity,2,5153,459.619407771,5153,4828,5478,4516,5790
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,fill_rate,2,0.73405,0.0120915259583,0.73405,0.7255,0.7426,0.717292,0.750808
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,gross_spread_capture,2,32928.0664453,502.639982824,32928.0664453,32572.6463049,33283.4865856,32231.4429702,33624.6899203
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,inventory_pnl,2,-2624.82142347,1687.73792056,-2624.82142347,-3818.23235197,-1431.41049498,-4963.90684333,-285.736003625
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,adverse_selection_cost,2,545.319939794,185.413660307,545.319939794,414.212683267,676.427196322,288.349717001,802.290162588
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,fee_pnl,2,146.81,2.41830519166,146.81,145.1,148.52,143.4584,150.1616
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,net_pnl_after_fees,2,30450.0550217,2192.79620858,30450.0550217,28899.5139529,32000.5960906,27410.9945268,33489.1155167
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,terminal_liquidation_cost,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,terminal_inventory_penalty,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,risk_adjusted_pnl,2,13.7072596621,6.73279395606,13.7072596621,8.94645539948,18.4680639248,4.37608330733,23.038436017
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,maximum_drawdown,2,2481.51423206,1058.9080657,2481.51423206,1732.75315815,3230.27530597,1013.9425272,3949.08593692
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,inventory_variance,2,10220.8195707,3300.74827989,10220.8195707,7886.838079,12554.8010624,5646.21584697,14795.4232944
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,pre_liquidation_inventory,2,-37.5,321.73358544,-37.5,-265,190,-483.4,408.4
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,final_inventory,2,-37.5,321.73358544,-37.5,-265,190,-483.4,408.4
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,maker_fills,2,789.5,12.0208152802,789.5,781,798,772.84,806.16
as_risk_aversion_high,hand-chosen,avellaneda stoikov,low volatility,market_maker_filled_quantity,2,7340.5,120.915259583,7340.5,7255,7426,7172.92,7508.08
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,fill_rate,2,0.51985,0.0201525432638,0.51985,0.5056,0.5341,0.49192,0.54778
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,gross_spread_capture,2,41802.8661006,2226.90797238,41802.8661006,40228.2043722,43377.5278289,38716.529113,44889.2030881
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,inventory_pnl,2,60086.4518681,8917.85535039,60086.4518681,53780.5758762,66392.32786,47726.934924,72445.9688122
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,adverse_selection_cost,2,2830.41624249,155.514467328,2830.41624249,2720.45090807,2940.38157691,2614.88418703,3045.94829795
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,fee_pnl,2,103.97,4.03050865276,103.97,101.12,106.82,98.384,109.556
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,net_pnl_after_fees,2,101993.287969,6694.97788652,101993.287969,97259.2237051,106727.352232,92714.5220122,111272.053925
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,terminal_liquidation_cost,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,terminal_inventory_penalty,2,0,0,0,0,0,0,0
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,risk_adjusted_pnl,2,4.15555321849,1.67664684957,4.15555321849,2.9699848615,5.34112157547,1.83183923879,6.47926719818
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,maximum_drawdown,2,26364.7894587,9026.34651189,26364.7894587,19982.1986308,32747.3802866,13854.911436,38874.6674814
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,inventory_variance,2,376062.318619,38780.4984376,376062.318619,348640.365196,403484.272042,322315.28991,429809.347328
as_risk_aversion_high,hand-chosen,avellaneda stoikov,trending,pre_liquidation_inventory,2,1857.5,85.5599205236,1857.5,1797,1918,1738.92,1976.08
